"Team","MeanAge","ForeignPlayers","Season"
"Man City",23.3,33,"2018-2019"
"Chelsea",24.6,40,"2018-2019"
"Liverpool",23.8,25,"2018-2019"
"Man Utd",24.4,22,"2018-2019"
"Spurs",24.5,20,"2018-2019"
"Arsenal",23.9,28,"2018-2019"
"Everton",25,25,"2018-2019"
"Leicester",25.4,26,"2018-2019"
"West Ham",25.7,22,"2018-2019"
"Southampton",23.9,18,"2018-2019"
"Crystal Palace",25.4,20,"2018-2019"
"Fulham",24.7,25,"2018-2019"
"Newcastle",25,22,"2018-2019"
"Burnley",27.1,14,"2018-2019"
"Bournemouth",24.7,16,"2018-2019"
"Brighton",24.8,29,"2018-2019"
"Watford",25.2,31,"2018-2019"
"Wolves",23.1,26,"2018-2019"
"Huddersfield",24.3,21,"2018-2019"
"Cardiff",26.3,32,"2018-2019"
