"Team","MeanAge","ForeignPlayers","Season"
"Chelsea",23.8,40,"2013-2014"
"Man Utd",24.9,24,"2013-2014"
"Man City",25.7,21,"2013-2014"
"Arsenal",23.8,30,"2013-2014"
"Spurs",23.4,21,"2013-2014"
"Liverpool",23.8,22,"2013-2014"
"Everton",25.9,22,"2013-2014"
"Newcastle",24.4,26,"2013-2014"
"Sunderland",24.9,28,"2013-2014"
"Fulham",25.4,33,"2013-2014"
"West Ham",25.3,22,"2013-2014"
"Stoke City",26.1,20,"2013-2014"
"Swansea",25.5,27,"2013-2014"
"Aston Villa",24,20,"2013-2014"
"Southampton",23.9,16,"2013-2014"
"Norwich",26.2,17,"2013-2014"
"Cardiff",24.6,36,"2013-2014"
"West Brom",26.6,21,"2013-2014"
"Hull City",26.3,22,"2013-2014"
"Crystal Palace",26.2,24,"2013-2014"
