"Team","MeanAge","ForeignPlayers","Season"
"Chelsea",23.7,30,"2015-2016"
"Man City",24.4,27,"2015-2016"
"Arsenal",23.7,29,"2015-2016"
"Man Utd",22.5,23,"2015-2016"
"Liverpool",22.5,25,"2015-2016"
"Spurs",22.7,16,"2015-2016"
"Everton",24.7,19,"2015-2016"
"Newcastle",23.6,26,"2015-2016"
"Southampton",24.1,19,"2015-2016"
"West Ham",23.2,26,"2015-2016"
"Swansea",24.8,29,"2015-2016"
"Sunderland",25.5,27,"2015-2016"
"Stoke City",26.3,24,"2015-2016"
"Crystal Palace",25.6,19,"2015-2016"
"West Brom",25.4,22,"2015-2016"
"Aston Villa",23.5,23,"2015-2016"
"Watford",26.4,35,"2015-2016"
"Norwich",25.6,22,"2015-2016"
"Leicester",25.9,19,"2015-2016"
"Bournemouth",24.1,22,"2015-2016"
