"Team","MeanAge","ForeignPlayers","Season"
"Man City",24,27,"2012-2013"
"Man Utd",24.1,22,"2012-2013"
"Chelsea",25.3,22,"2012-2013"
"Spurs",25.1,16,"2012-2013"
"Arsenal",23.8,30,"2012-2013"
"Liverpool",22.8,19,"2012-2013"
"Newcastle",24.1,25,"2012-2013"
"QPR",28.1,18,"2012-2013"
"Sunderland",25.4,18,"2012-2013"
"Everton",25.6,18,"2012-2013"
"Fulham",26.9,29,"2012-2013"
"West Ham",25.1,18,"2012-2013"
"Aston Villa",24.1,19,"2012-2013"
"Stoke City",27.6,16,"2012-2013"
"Swansea",25.9,25,"2012-2013"
"West Brom",25.7,21,"2012-2013"
"Wigan",25,28,"2012-2013"
"Norwich",25.3,16,"2012-2013"
"Southampton",24.3,16,"2012-2013"
"Reading",25.6,23,"2012-2013"
