"Team","MeanAge","ForeignPlayers","Season"
"Arsenal",22.9,28,"2004-2005"
"Chelsea",23.4,23,"2004-2005"
"Man Utd",24.2,22,"2004-2005"
"Liverpool",23.9,24,"2004-2005"
"Newcastle",24.7,15,"2004-2005"
"Aston Villa",23.8,16,"2004-2005"
"Charlton",25.5,15,"2004-2005"
"Bolton",27.3,20,"2004-2005"
"Fulham",24.9,23,"2004-2005"
"Birmingham",25.1,21,"2004-2005"
"Middlesbrough",24.6,13,"2004-2005"
"Southampton",25,24,"2004-2005"
"Portsmouth",25.3,22,"2004-2005"
"Spurs",23.3,20,"2004-2005"
"Blackburn",26.1,26,"2004-2005"
"Man City",25.1,21,"2004-2005"
"Everton",26.2,15,"2004-2005"
"Norwich",26,12,"2004-2005"
"West Brom",26.3,17,"2004-2005"
"Crystal Palace",24.1,18,"2004-2005"
