"Team","MeanAge","ForeignPlayers","Season"
"Chelsea",25.5,24,"2009-2010"
"Man Utd",25,22,"2009-2010"
"Liverpool",24.4,24,"2009-2010"
"Man City",24.1,24,"2009-2010"
"Arsenal",21.7,31,"2009-2010"
"Spurs",23.3,20,"2009-2010"
"Everton",23.1,23,"2009-2010"
"Aston Villa",25.5,13,"2009-2010"
"Sunderland",24.5,26,"2009-2010"
"West Ham",23.8,20,"2009-2010"
"Portsmouth",25.4,29,"2009-2010"
"Fulham",25.3,28,"2009-2010"
"Blackburn",25.3,29,"2009-2010"
"Bolton",25.3,18,"2009-2010"
"Stoke City",25.9,18,"2009-2010"
"Hull City",26,23,"2009-2010"
"Wigan",25.4,27,"2009-2010"
"Birmingham",25.5,18,"2009-2010"
"Wolves",24.1,19,"2009-2010"
"Burnley",25,20,"2009-2010"
