"Team","MeanAge","ForeignPlayers","Season"
"Man Utd",23.3,18,"2003-2004"
"Arsenal",24,23,"2003-2004"
"Newcastle",23.5,12,"2003-2004"
"Chelsea",25,23,"2003-2004"
"Liverpool",23.6,23,"2003-2004"
"Blackburn",25.5,24,"2003-2004"
"Everton",26.1,16,"2003-2004"
"Southampton",25.2,20,"2003-2004"
"Man City",26.2,22,"2003-2004"
"Spurs",24.1,17,"2003-2004"
"Middlesbrough",24.3,16,"2003-2004"
"Charlton",25.7,16,"2003-2004"
"Birmingham",26.5,16,"2003-2004"
"Fulham",26.1,25,"2003-2004"
"Leeds",23.6,18,"2003-2004"
"Aston Villa",25.1,17,"2003-2004"
"Bolton",26.5,20,"2003-2004"
"Portsmouth",25.8,26,"2003-2004"
"Leicester",26.9,19,"2003-2004"
"Wolves",26.3,22,"2003-2004"
