"Team","MeanAge","ForeignPlayers","Season"
"Chelsea",24.5,19,"2005-2006"
"Man Utd",24.9,20,"2005-2006"
"Arsenal",23.3,28,"2005-2006"
"Liverpool",23.9,23,"2005-2006"
"Spurs",24.5,15,"2005-2006"
"Newcastle",25.6,13,"2005-2006"
"Everton",26.3,19,"2005-2006"
"Aston Villa",24,16,"2005-2006"
"Birmingham",25.5,18,"2005-2006"
"Middlesbrough",23.6,14,"2005-2006"
"Portsmouth",26,29,"2005-2006"
"Man City",24.9,16,"2005-2006"
"Charlton",25,21,"2005-2006"
"Fulham",26.6,24,"2005-2006"
"Blackburn",26.7,21,"2005-2006"
"Bolton",26,21,"2005-2006"
"West Brom",25.3,14,"2005-2006"
"West Ham",25.3,11,"2005-2006"
"Wigan",27.4,18,"2005-2006"
"Sunderland",23.4,18,"2005-2006"
