"Team","MeanAge","ForeignPlayers","Season"
"Man City",24.7,36,"2016-2017"
"Chelsea",23.8,41,"2016-2017"
"Man Utd",23.5,24,"2016-2017"
"Arsenal",23.7,26,"2016-2017"
"Liverpool",23.4,23,"2016-2017"
"Spurs",22.7,20,"2016-2017"
"Everton",24.9,22,"2016-2017"
"West Ham",23.7,27,"2016-2017"
"Crystal Palace",25.1,25,"2016-2017"
"Southampton",24.4,19,"2016-2017"
"Stoke City",26.1,27,"2016-2017"
"Watford",25.8,36,"2016-2017"
"Leicester",25.6,21,"2016-2017"
"Swansea",25.9,34,"2016-2017"
"Hull City",25,22,"2016-2017"
"Middlesbrough",26.3,21,"2016-2017"
"West Brom",26.3,17,"2016-2017"
"Sunderland",24.3,27,"2016-2017"
"Bournemouth",23.4,16,"2016-2017"
"Burnley",25.7,14,"2016-2017"
