"Team","MeanAge","ForeignPlayers","Season"
"Chelsea",23.9,28,"2014-2015"
"Man Utd",23.9,25,"2014-2015"
"Man City",25.4,29,"2014-2015"
"Arsenal",23,29,"2014-2015"
"Spurs",23.7,25,"2014-2015"
"Liverpool",23.4,21,"2014-2015"
"Everton",24.3,19,"2014-2015"
"Southampton",23.5,20,"2014-2015"
"Newcastle",22.9,26,"2014-2015"
"Stoke City",26.4,23,"2014-2015"
"Aston Villa",24.3,20,"2014-2015"
"West Ham",24.8,21,"2014-2015"
"Hull City",26,24,"2014-2015"
"Sunderland",24.8,20,"2014-2015"
"QPR",25.1,24,"2014-2015"
"Swansea",24.3,30,"2014-2015"
"West Brom",25.5,22,"2014-2015"
"Crystal Palace",26,25,"2014-2015"
"Leicester",25.9,18,"2014-2015"
"Burnley",25.5,13,"2014-2015"
