"Team","MeanAge","ForeignPlayers","Season"
"Chelsea",24.5,22,"2010-2011"
"Man Utd",24.1,29,"2010-2011"
"Man City",23.4,27,"2010-2011"
"Liverpool",23.5,25,"2010-2011"
"Arsenal",23.4,27,"2010-2011"
"Spurs",24.7,21,"2010-2011"
"Aston Villa",25.1,20,"2010-2011"
"Everton",23.9,21,"2010-2011"
"West Ham",25.1,24,"2010-2011"
"Sunderland",23.7,20,"2010-2011"
"Fulham",27.5,27,"2010-2011"
"Birmingham",25.8,18,"2010-2011"
"Stoke City",27,20,"2010-2011"
"Newcastle",23.7,16,"2010-2011"
"Blackburn",25.1,29,"2010-2011"
"Bolton",25.4,18,"2010-2011"
"West Brom",24.3,24,"2010-2011"
"Wolves",23.7,23,"2010-2011"
"Wigan",24,24,"2010-2011"
"Blackpool",24.2,23,"2010-2011"
