"Team","MeanAge","ForeignPlayers","Season"
"Chelsea",23.2,24,"2006-2007"
"Man Utd",24.2,18,"2006-2007"
"Liverpool",23.6,24,"2006-2007"
"Arsenal",22.8,30,"2006-2007"
"Spurs",23.1,20,"2006-2007"
"Newcastle",25,19,"2006-2007"
"Aston Villa",24.8,18,"2006-2007"
"West Ham",25.1,13,"2006-2007"
"Everton",25,16,"2006-2007"
"Middlesbrough",23.2,15,"2006-2007"
"Man City",24.4,14,"2006-2007"
"Portsmouth",26.4,16,"2006-2007"
"Fulham",26.3,26,"2006-2007"
"Charlton",24.7,24,"2006-2007"
"Blackburn",26.6,22,"2006-2007"
"Bolton",24.6,26,"2006-2007"
"Wigan",26,18,"2006-2007"
"Sheff Utd",25.1,18,"2006-2007"
"Reading",24,23,"2006-2007"
"Watford",23.1,20,"2006-2007"
