"Team","MeanAge","ForeignPlayers","Season"
"Chelsea",24.6,22,"2007-2008"
"Man Utd",24.5,20,"2007-2008"
"Liverpool",22.5,25,"2007-2008"
"Arsenal",22.3,28,"2007-2008"
"Spurs",23.8,20,"2007-2008"
"Newcastle",25.1,18,"2007-2008"
"Everton",24.4,15,"2007-2008"
"West Ham",25,14,"2007-2008"
"Portsmouth",25.4,19,"2007-2008"
"Man City",23.6,19,"2007-2008"
"Middlesbrough",23.6,14,"2007-2008"
"Aston Villa",24.3,10,"2007-2008"
"Fulham",26.7,30,"2007-2008"
"Bolton",25.8,21,"2007-2008"
"Blackburn",24.3,30,"2007-2008"
"Birmingham",24.1,17,"2007-2008"
"Wigan",25.5,19,"2007-2008"
"Derby",25.8,23,"2007-2008"
"Sunderland",24.2,31,"2007-2008"
"Reading",23.9,30,"2007-2008"
