"Team","MeanAge","ForeignPlayers","Season"
"Chelsea",23.7,33,"2017-2018"
"Man Utd",25.1,22,"2017-2018"
"Arsenal",23.8,27,"2017-2018"
"Man City",24.1,21,"2017-2018"
"Spurs",23.8,22,"2017-2018"
"Liverpool",24,21,"2017-2018"
"Everton",23.9,27,"2017-2018"
"West Ham",24.3,23,"2017-2018"
"Leicester",25.5,21,"2017-2018"
"Southampton",24.9,16,"2017-2018"
"Crystal Palace",24.8,22,"2017-2018"
"Stoke City",25.2,27,"2017-2018"
"Swansea",25.3,32,"2017-2018"
"Watford",25.9,27,"2017-2018"
"Newcastle",24.4,24,"2017-2018"
"West Brom",25.5,17,"2017-2018"
"Bournemouth",25,13,"2017-2018"
"Brighton",25.8,26,"2017-2018"
"Burnley",26.8,16,"2017-2018"
"Huddersfield",24.6,18,"2017-2018"
