"Team","MeanAge","ForeignPlayers","Season"
"Liverpool",26.4,21,"2020-2021"
"Man City",26.9,19,"2020-2021"
"Chelsea",26.5,21,"2020-2021"
"Man Utd",26.9,17,"2020-2021"
"Spurs",27.1,20,"2020-2021"
"Arsenal",25.9,21,"2020-2021"
"Everton",26.5,18,"2020-2021"
"Leicester",27.4,18,"2020-2021"
"Wolves",25.7,22,"2020-2021"
"Aston Villa",26.4,13,"2020-2021"
"West Ham",28.6,14,"2020-2021"
"Newcastle",28,18,"2020-2021"
"Brighton",25.9,17,"2020-2021"
"Southampton",26,11,"2020-2021"
"Crystal Palace",29.1,16,"2020-2021"
"Fulham",27.3,21,"2020-2021"
"Leeds",25.9,19,"2020-2021"
"Sheff Utd",27.2,11,"2020-2021"
"Burnley",28.3,10,"2020-2021"
"West Brom",28.3,13,"2020-2021"
