"Team","MeanAge","ForeignPlayers","Season"
"Arsenal",25.2,21,"2002-2003"
"Liverpool",23.9,20,"2002-2003"
"Man Utd",25.5,16,"2002-2003"
"Newcastle",23.4,17,"2002-2003"
"Leeds",24.2,19,"2002-2003"
"Chelsea",25.2,23,"2002-2003"
"West Ham",25.1,23,"2002-2003"
"Aston Villa",25.5,21,"2002-2003"
"Spurs",25.6,20,"2002-2003"
"Blackburn",25.7,19,"2002-2003"
"Southampton",25.8,19,"2002-2003"
"Middlesbrough",24.1,19,"2002-2003"
"Fulham",26.3,23,"2002-2003"
"Charlton",26.1,15,"2002-2003"
"Everton",25.5,21,"2002-2003"
"Bolton",26.4,24,"2002-2003"
"Sunderland",24.4,27,"2002-2003"
"Man City",24.8,34,"2002-2003"
"West Brom",25.7,12,"2002-2003"
"Birmingham",26.1,21,"2002-2003"
