"Team","MeanAge","ForeignPlayers","Season"
"Chelsea",26.3,21,"2011-2012"
"Man City",24.7,22,"2011-2012"
"Man Utd",23.6,23,"2011-2012"
"Spurs",24.2,24,"2011-2012"
"Arsenal",23.3,33,"2011-2012"
"Liverpool",25,16,"2011-2012"
"Everton",25.6,24,"2011-2012"
"Aston Villa",25.3,21,"2011-2012"
"Sunderland",25,18,"2011-2012"
"Newcastle",24.1,21,"2011-2012"
"Stoke City",27.9,15,"2011-2012"
"Fulham",26.1,28,"2011-2012"
"QPR",27,24,"2011-2012"
"Bolton",25.2,19,"2011-2012"
"Blackburn",24.5,25,"2011-2012"
"Wolves",24.1,23,"2011-2012"
"West Brom",25,24,"2011-2012"
"Wigan",25.4,22,"2011-2012"
"Swansea",24.8,26,"2011-2012"
"Norwich",24.5,12,"2011-2012"
