"Team","MeanAge","ForeignPlayers","Season"
"Chelsea",25.6,21,"2008-2009"
"Man Utd",24.3,20,"2008-2009"
"Liverpool",23.9,24,"2008-2009"
"Arsenal",21.3,30,"2008-2009"
"Spurs",22.5,18,"2008-2009"
"Man City",24,20,"2008-2009"
"Everton",24.4,15,"2008-2009"
"Newcastle",24.8,19,"2008-2009"
"Portsmouth",26.8,19,"2008-2009"
"Aston Villa",25.4,8,"2008-2009"
"Sunderland",24.9,21,"2008-2009"
"Blackburn",26.4,21,"2008-2009"
"Bolton",25.2,19,"2008-2009"
"West Ham",24.3,15,"2008-2009"
"Middlesbrough",22.3,13,"2008-2009"
"Fulham",25.3,20,"2008-2009"
"West Brom",24.6,21,"2008-2009"
"Wigan",25.7,18,"2008-2009"
"Stoke City",26.6,15,"2008-2009"
"Hull City",27.3,12,"2008-2009"
