"","Team","Value","Squad size","Date"
"1","AFC Bournemouth","€4.08m",26,"2011-04-15"
"2","Norwich City","€17.63m",30,"2011-04-15"
"3","Watford FC","€9.30m",23,"2011-04-15"
"4","Brentford FC","€7.05m",29,"2011-04-15"
"5","Cardiff City","€35.00m",28,"2011-04-15"
"6","Bristol City","€20.45m",29,"2011-04-15"
"7","Swansea City","€18.35m",27,"2011-04-15"
"8","Reading FC","€20.28m",26,"2011-04-15"
"9","Stoke City","€84.85m",26,"2011-04-15"
"10","Blackburn Rovers","€83.10m",27,"2011-04-15"
"11","Nottingham Forest","€33.50m",25,"2011-04-15"
"12","Middlesbrough FC","€34.55m",29,"2011-04-15"
"13","Derby County","€16.10m",32,"2011-04-15"
"14","Huddersfield Town","€10.33m",26,"2011-04-15"
"15","Birmingham City","€90.75m",26,"2011-04-15"
"16","Millwall FC","€12.63m",28,"2011-04-15"
"17","Sheffield Wednesday","€17.90m",28,"2011-04-15"
"18","Preston North End","€22.45m",35,"2011-04-15"
"19","Queens Park Rangers","€36.85m",31,"2011-04-15"
"20","Barnsley FC","€17.75m",27,"2011-04-15"
"21","Luton Town","€2.28m",33,"2011-04-15"
"22","Coventry City","€15.83m",28,"2011-04-15"
"23","Rotherham United","€3.58m",28,"2011-04-15"
"24","Wycombe Wanderers","€4.20m",25,"2011-04-15"
