"Team","Value","Squad size","Date"
"Salford City","£563Th.",11,"2015-04-01"
"Southend United","£3.17m",26,"2015-04-01"
"Bolton Wanderers","£24.03m",32,"2015-04-01"
"Oldham Athletic","£5.42m",28,"2015-04-01"
"Tranmere Rovers","£3.47m",27,"2015-04-01"
"Morecambe FC","£2.23m",25,"2015-04-01"
"Grimsby Town","£1.13m",27,"2015-04-01"
"Colchester United","£4.03m",29,"2015-04-01"
"Leyton Orient","£6.84m",29,"2015-04-01"
"Mansfield Town","£1.80m",27,"2015-04-01"
"Bradford City","£5.13m",22,"2015-04-01"
"Scunthorpe United","£4.14m",26,"2015-04-01"
"Barrow AFC","£1.19m",29,"2015-04-01"
"Port Vale FC","£3.56m",28,"2015-04-01"
"Cheltenham Town","£2.86m",28,"2015-04-01"
"Exeter City","£3.47m",28,"2015-04-01"
"Carlisle United","£3.42m",28,"2015-04-01"
"Crawley Town","£4.30m",26,"2015-04-01"
"Newport County","£1.13m",23,"2015-04-01"
"Walsall FC","£2.86m",25,"2015-04-01"
"Forest Green Rovers","£1.78m",23,"2015-04-01"
"Stevenage FC","£2.39m",32,"2015-04-01"
"Cambridge United","£2.52m",28,"2015-04-01"
"Harrogate Town","£2.12m",38,"2015-04-01"
