"Team","Value","Squad size","Date"
"Liverpool FC","£382.46m",33,"2017-07-01"
"Manchester City","£544.91m",39,"2017-07-01"
"Chelsea FC","£592.38m",46,"2017-07-01"
"Manchester United","£436.28m",29,"2017-07-01"
"Tottenham Hotspur","£474.30m",26,"2017-07-01"
"Arsenal FC","£486.00m",34,"2017-07-01"
"Everton FC","£267.30m",33,"2017-07-01"
"Leicester City","£185.85m",26,"2017-07-01"
"Wolverhampton Wanderers","£45.52m",36,"2017-07-01"
"Aston Villa","£100.13m",31,"2017-07-01"
"West Ham United","£190.53m",31,"2017-07-01"
"Newcastle United","£144.45m",37,"2017-07-01"
"Brighton & Hove Albion","£47.16m",29,"2017-07-01"
"Southampton FC","£230.18m",31,"2017-07-01"
"Crystal Palace","£161.26m",32,"2017-07-01"
"Fulham FC","£45.72m",27,"2017-07-01"
"Leeds United","£32.49m",25,"2017-07-01"
"Sheffield United","£8.19m",25,"2017-07-01"
"Burnley FC","£85.50m",27,"2017-07-01"
"West Bromwich Albion","£90.09m",22,"2017-07-01"
