"Team","Value","Squad size","Date"
"Hull City","£23.36m",28,"2012-01-01"
"Ipswich Town","£23.09m",24,"2012-01-01"
"Blackpool FC","£27.27m",29,"2012-01-01"
"Sunderland AFC","£96.93m",27,"2012-01-01"
"Charlton Athletic","£11.86m",30,"2012-01-01"
"Shrewsbury Town","£3.42m",23,"2012-01-01"
"Fleetwood Town","£765Th.",35,"2012-01-01"
"Milton Keynes Dons","£5.90m",23,"2012-01-01"
"Oxford United","£5.65m",29,"2012-01-01"
"Wigan Athletic","£63.72m",25,"2012-01-01"
"Swindon Town","£4.86m",29,"2012-01-01"
"Doncaster Rovers","£20.25m",36,"2012-01-01"
"Portsmouth FC","£24.37m",21,"2012-01-01"
"Burton Albion","£2.79m",27,"2012-01-01"
"Gillingham FC","£3.35m",29,"2012-01-01"
"Bristol Rovers","£4.50m",27,"2012-01-01"
"Northampton Town","£3.38m",28,"2012-01-01"
"Plymouth Argyle","£4.30m",27,"2012-01-01"
"Lincoln City","£1.67m",28,"2012-01-01"
"Peterborough United","£5.99m",22,"2012-01-01"
"Rochdale AFC","£4.70m",28,"2012-01-01"
"Crewe Alexandra","£990Th.",28,"2012-01-01"
"AFC Wimbledon","£698Th.",25,"2012-01-01"
"Accrington Stanley","£1.98m",24,"2012-01-01"
