"Team","Value","Squad size","Date"
"Liverpool FC","£340.38m",27,"2016-11-15"
"Manchester City","£471.83m",23,"2016-11-15"
"Chelsea FC","£470.07m",26,"2016-11-15"
"Manchester United","£493.43m",27,"2016-11-15"
"Tottenham Hotspur","£336.15m",24,"2016-11-15"
"Arsenal FC","£441.45m",29,"2016-11-15"
"Everton FC","£223.43m",28,"2016-11-15"
"Leicester City","£193.95m",26,"2016-11-15"
"Wolverhampton Wanderers","£44.82m",31,"2016-11-15"
"Aston Villa","£90.23m",26,"2016-11-15"
"West Ham United","£221.40m",27,"2016-11-15"
"Newcastle United","£114.62m",27,"2016-11-15"
"Southampton FC","£184.50m",27,"2016-11-15"
"Brighton & Hove Albion","£43.07m",27,"2016-11-15"
"Fulham FC","£50.31m",26,"2016-11-15"
"Crystal Palace","£144.68m",25,"2016-11-15"
"Leeds United","£30.74m",27,"2016-11-15"
"Sheffield United","£6.46m",25,"2016-11-15"
"Burnley FC","£62.10m",22,"2016-11-15"
"West Bromwich Albion","£99.54m",22,"2016-11-15"
