"Team","Value","Squad size","Date"
"AFC Bournemouth","£9.41m",30,"2013-09-01"
"Norwich City","£77.45m",26,"2013-09-01"
"Watford FC","£24.48m",24,"2013-09-01"
"Brentford FC","£5.99m",27,"2013-09-01"
"Stoke City","£88.92m",26,"2013-09-01"
"Bristol City","£9.63m",24,"2013-09-01"
"Nottingham Forest","£29.43m",29,"2013-09-01"
"Swansea City","£99.23m",23,"2013-09-01"
"Blackburn Rovers","£39.11m",32,"2013-09-01"
"Reading FC","£35.82m",25,"2013-09-01"
"Cardiff City","£59.11m",30,"2013-09-01"
"Middlesbrough FC","£20.39m",24,"2013-09-01"
"Huddersfield Town","£12.83m",24,"2013-09-01"
"Birmingham City","£12.78m",25,"2013-09-01"
"Derby County","£16.47m",27,"2013-09-01"
"Millwall FC","£15.26m",29,"2013-09-01"
"Preston North End","£5.00m",25,"2013-09-01"
"Sheffield Wednesday","£10.58m",27,"2013-09-01"
"Queens Park Rangers","£46.62m",23,"2013-09-01"
"Barnsley FC","£9.11m",25,"2013-09-01"
"Luton Town","£2.03m",28,"2013-09-01"
"Coventry City","£5.13m",24,"2013-09-01"
"Rotherham United","£5.92m",26,"2013-09-01"
"Wycombe Wanderers","£2.63m",23,"2013-09-01"
