"Team","Value","Squad size","Date"
"Hull City","£29.07m",27,"2010-12-01"
"Ipswich Town","£26.15m",30,"2010-12-01"
"Blackpool FC","£24.12m",30,"2010-12-01"
"Sunderland AFC","£93.83m",23,"2010-12-01"
"Shrewsbury Town","£5.27m",29,"2010-12-01"
"Charlton Athletic","£10.35m",29,"2010-12-01"
"Fleetwood Town","£1.82m",34,"2010-12-01"
"Milton Keynes Dons","£5.87m",25,"2010-12-01"
"Oxford United","£3.11m",24,"2010-12-01"
"Wigan Athletic","£59.85m",22,"2010-12-01"
"Swindon Town","£5.42m",26,"2010-12-01"
"Doncaster Rovers","£11.36m",26,"2010-12-01"
"Portsmouth FC","£23.90m",24,"2010-12-01"
"Burton Albion","£3.53m",27,"2010-12-01"
"Gillingham FC","£4.52m",33,"2010-12-01"
"Bristol Rovers","£5.56m",24,"2010-12-01"
"Plymouth Argyle","£9.99m",29,"2010-12-01"
"Northampton Town","£3.83m",25,"2010-12-01"
"Lincoln City","£2.90m",26,"2010-12-01"
"Peterborough United","£8.39m",26,"2010-12-01"
"Rochdale AFC","£3.65m",28,"2010-12-01"
"Crewe Alexandra","£2.05m",29,"2010-12-01"
"AFC Wimbledon","£293Th.",26,"2010-12-01"
"Accrington Stanley","£1.60m",26,"2010-12-01"
