"Team","Value","Squad size","Date"
"Ipswich Town","£13.57m",24,"2014-03-15"
"Hull City","£54.90m",23,"2014-03-15"
"Sunderland AFC","£87.30m",25,"2014-03-15"
"Blackpool FC","£14.33m",27,"2014-03-15"
"Charlton Athletic","£14.13m",28,"2014-03-15"
"Milton Keynes Dons","£5.58m",22,"2014-03-15"
"Portsmouth FC","£4.25m",26,"2014-03-15"
"Fleetwood Town","£3.08m",28,"2014-03-15"
"Shrewsbury Town","£3.56m",24,"2014-03-15"
"Swindon Town","£4.41m",35,"2014-03-15"
"Oxford United","£2.50m",28,"2014-03-15"
"Wigan Athletic","£50.36m",31,"2014-03-15"
"Lincoln City","£540Th.",22,"2014-03-15"
"Doncaster Rovers","£9.00m",23,"2014-03-15"
"Gillingham FC","£4.01m",33,"2014-03-15"
"Bristol Rovers","£2.63m",27,"2014-03-15"
"Plymouth Argyle","£2.90m",26,"2014-03-15"
"Burton Albion","£2.46m",21,"2014-03-15"
"Crewe Alexandra","£2.61m",27,"2014-03-15"
"Northampton Town","£3.83m",29,"2014-03-15"
"Peterborough United","£5.94m",25,"2014-03-15"
"Rochdale AFC","£2.12m",28,"2014-03-15"
"AFC Wimbledon","£2.25m",28,"2014-03-15"
"Accrington Stanley","£1.98m",25,"2014-03-15"
