"","Team","Value","Squad size","Date"
"1","AFC Bournemouth","€5.68m",31,"2013-02-01"
"2","Norwich City","€63.00m",25,"2013-02-01"
"3","Watford FC","€19.85m",31,"2013-02-01"
"4","Brentford FC","€5.65m",27,"2013-02-01"
"5","Cardiff City","€34.90m",28,"2013-02-01"
"6","Bristol City","€15.15m",25,"2013-02-01"
"7","Swansea City","€87.25m",23,"2013-02-01"
"8","Reading FC","€44.75m",30,"2013-02-01"
"9","Stoke City","€95.25m",25,"2013-02-01"
"10","Blackburn Rovers","€54.30m",31,"2013-02-01"
"11","Nottingham Forest","€28.15m",27,"2013-02-01"
"12","Middlesbrough FC","€32.75m",31,"2013-02-01"
"13","Derby County","€12.03m",27,"2013-02-01"
"14","Huddersfield Town","€15.08m",24,"2013-02-01"
"15","Birmingham City","€25.75m",25,"2013-02-01"
"16","Millwall FC","€13.10m",28,"2013-02-01"
"17","Sheffield Wednesday","€15.40m",27,"2013-02-01"
"18","Preston North End","€4.98m",25,"2013-02-01"
"19","Queens Park Rangers","€116.50m",30,"2013-02-01"
"20","Barnsley FC","€9.00m",30,"2013-02-01"
"21","Luton Town","€1.45m",26,"2013-02-01"
"22","Coventry City","€8.25m",25,"2013-02-01"
"23","Rotherham United","€7.10m",22,"2013-02-01"
"24","Wycombe Wanderers","€3.78m",28,"2013-02-01"
