"","Team","Value","Squad size","Date"
"1","Salford City","€1.20m",27,"2016-02-15"
"2","Southend United","€4.95m",25,"2016-02-15"
"3","Bolton Wanderers","€15.25m",28,"2016-02-15"
"4","Oldham Athletic","€5.05m",30,"2016-02-15"
"5","Tranmere Rovers","€2.35m",27,"2016-02-15"
"6","Morecambe FC","€1.73m",23,"2016-02-15"
"7","Grimsby Town","€1.68m",23,"2016-02-15"
"8","Colchester United","€5.15m",28,"2016-02-15"
"9","Leyton Orient","€6.78m",30,"2016-02-15"
"10","Mansfield Town","€2.60m",24,"2016-02-15"
"11","Bradford City","€6.28m",26,"2016-02-15"
"12","Scunthorpe United","€4.48m",26,"2016-02-15"
"13","Barrow AFC","€1.10m",24,"2016-02-15"
"14","Port Vale FC","€3.65m",25,"2016-02-15"
"15","Cheltenham Town","€1.30m",27,"2016-02-15"
"16","Exeter City","€4.95m",30,"2016-02-15"
"17","Carlisle United","€1.65m",24,"2016-02-15"
"18","Crawley Town","€2.80m",19,"2016-02-15"
"19","Newport County","€1.53m",22,"2016-02-15"
"20","Cambridge United","€2.83m",26,"2016-02-15"
"21","Walsall FC","€4.00m",23,"2016-02-15"
"22","Forest Green Rovers","€1.98m",22,"2016-02-15"
"23","Stevenage FC","€2.08m",32,"2016-02-15"
"24","Harrogate Town","€3.08m",47,"2016-02-15"
