"Team","Value","Squad size","Date"
"Ipswich Town","£29.03m",29,"2011-10-01"
"Hull City","£23.31m",27,"2011-10-01"
"Sunderland AFC","£98.51m",28,"2011-10-01"
"Blackpool FC","£25.20m",30,"2011-10-01"
"Charlton Athletic","£9.86m",29,"2011-10-01"
"Milton Keynes Dons","£7.92m",25,"2011-10-01"
"Portsmouth FC","£23.83m",20,"2011-10-01"
"Fleetwood Town","£720Th.",32,"2011-10-01"
"Shrewsbury Town","£3.24m",21,"2011-10-01"
"Swindon Town","£4.77m",29,"2011-10-01"
"Oxford United","£4.70m",25,"2011-10-01"
"Wigan Athletic","£63.72m",26,"2011-10-01"
"Lincoln City","£1.37m",23,"2011-10-01"
"Doncaster Rovers","£12.92m",31,"2011-10-01"
"Gillingham FC","£3.58m",26,"2011-10-01"
"Bristol Rovers","£4.12m",27,"2011-10-01"
"Plymouth Argyle","£3.15m",25,"2011-10-01"
"Burton Albion","£3.02m",25,"2011-10-01"
"Crewe Alexandra","£900Th.",25,"2011-10-01"
"Northampton Town","£3.13m",28,"2011-10-01"
"Peterborough United","£6.19m",23,"2011-10-01"
"Rochdale AFC","£3.67m",25,"2011-10-01"
"AFC Wimbledon","£675Th.",23,"2011-10-01"
"Accrington Stanley","£1.69m",22,"2011-10-01"
