"","Team","Value","Squad size","Date"
"1","Hull City","€44.25m",24,"2018-08-01"
"2","Ipswich Town","€14.10m",27,"2018-08-01"
"3","Blackpool FC","€4.08m",26,"2018-08-01"
"4","Sunderland AFC","€42.60m",26,"2018-08-01"
"5","Shrewsbury Town","€3.65m",30,"2018-08-01"
"6","Charlton Athletic","€7.15m",19,"2018-08-01"
"7","Fleetwood Town","€7.30m",28,"2018-08-01"
"8","Milton Keynes Dons","€5.85m",26,"2018-08-01"
"9","Oxford United","€5.90m",26,"2018-08-01"
"10","Wigan Athletic","€12.68m",29,"2018-08-01"
"11","Swindon Town","€3.13m",25,"2018-08-01"
"12","Doncaster Rovers","€3.23m",29,"2018-08-01"
"13","Portsmouth FC","€4.00m",22,"2018-08-01"
"14","Burton Albion","€6.08m",22,"2018-08-01"
"15","Gillingham FC","€2.85m",25,"2018-08-01"
"16","Bristol Rovers","€3.70m",23,"2018-08-01"
"17","Plymouth Argyle","€5.20m",33,"2018-08-01"
"18","Northampton Town","€4.60m",27,"2018-08-01"
"19","Lincoln City","€3.45m",20,"2018-08-01"
"20","Peterborough United","€4.45m",27,"2018-08-01"
"21","Rochdale AFC","€3.10m",24,"2018-08-01"
"22","Crewe Alexandra","€2.28m",29,"2018-08-01"
"23","AFC Wimbledon","€2.78m",22,"2018-08-01"
"24","Accrington Stanley","€1.80m",21,"2018-08-01"
