"Team","Value","Squad size","Date"
"Ipswich Town","£21.56m",25,"2015-05-15"
"Hull City","£80.78m",26,"2015-05-15"
"Sunderland AFC","£76.28m",23,"2015-05-15"
"Blackpool FC","£6.23m",25,"2015-05-15"
"Charlton Athletic","£20.93m",30,"2015-05-15"
"Milton Keynes Dons","£10.17m",25,"2015-05-15"
"Portsmouth FC","£4.41m",27,"2015-05-15"
"Fleetwood Town","£3.56m",30,"2015-05-15"
"Shrewsbury Town","£3.47m",25,"2015-05-15"
"Swindon Town","£5.65m",25,"2015-05-15"
"Oxford United","£2.18m",27,"2015-05-15"
"Wigan Athletic","£25.47m",25,"2015-05-15"
"Lincoln City","£540Th.",23,"2015-05-15"
"Doncaster Rovers","£4.28m",24,"2015-05-15"
"Gillingham FC","£2.43m",26,"2015-05-15"
"Bristol Rovers","£1.69m",25,"2015-05-15"
"Plymouth Argyle","£1.73m",24,"2015-05-15"
"Burton Albion","£2.46m",25,"2015-05-15"
"Crewe Alexandra","£3.31m",29,"2015-05-15"
"Northampton Town","£3.96m",26,"2015-05-15"
"Peterborough United","£5.02m",23,"2015-05-15"
"Rochdale AFC","£3.26m",25,"2015-05-15"
"AFC Wimbledon","£1.46m",27,"2015-05-15"
"Accrington Stanley","£1.28m",28,"2015-05-15"
