"","Team","Value","Squad size","Date"
"1","Liverpool FC","€310.50m",25,"2015-04-15"
"2","Manchester City","€418.25m",23,"2015-04-15"
"3","Chelsea FC","€482.00m",23,"2015-04-15"
"4","Manchester United","€425.00m",25,"2015-04-15"
"5","Tottenham Hotspur","€262.75m",25,"2015-04-15"
"6","Arsenal FC","€387.75m",25,"2015-04-15"
"7","Everton FC","€179.50m",25,"2015-04-15"
"8","Leicester City","€61.75m",27,"2015-04-15"
"9","Wolverhampton Wanderers","€22.30m",26,"2015-04-15"
"10","Aston Villa","€105.50m",27,"2015-04-15"
"11","West Ham United","€119.25m",22,"2015-04-15"
"12","Newcastle United","€122.00m",26,"2015-04-15"
"13","Southampton FC","€189.25m",24,"2015-04-15"
"14","Brighton & Hove Albion","€21.60m",28,"2015-04-15"
"15","Fulham FC","€37.20m",34,"2015-04-15"
"16","Crystal Palace","€84.75m",27,"2015-04-15"
"17","Leeds United","€26.55m",30,"2015-04-15"
"18","Sheffield United","€9.45m",26,"2015-04-15"
"19","Burnley FC","€47.30m",23,"2015-04-15"
"20","West Bromwich Albion","€80.50m",22,"2015-04-15"
