"Team","Value","Squad size","Date"
"Ipswich Town","£14.60m",26,"2013-05-01"
"Hull City","£33.35m",28,"2013-05-01"
"Sunderland AFC","£106.20m",22,"2013-05-01"
"Blackpool FC","£28.35m",31,"2013-05-01"
"Charlton Athletic","£8.96m",27,"2013-05-01"
"Milton Keynes Dons","£5.31m",23,"2013-05-01"
"Portsmouth FC","£3.53m",19,"2013-05-01"
"Fleetwood Town","£3.13m",32,"2013-05-01"
"Shrewsbury Town","£3.33m",25,"2013-05-01"
"Swindon Town","£3.42m",24,"2013-05-01"
"Oxford United","£2.93m",27,"2013-05-01"
"Wigan Athletic","£64.58m",25,"2013-05-01"
"Lincoln City","£405Th.",24,"2013-05-01"
"Doncaster Rovers","£7.02m",27,"2013-05-01"
"Gillingham FC","£1.89m",24,"2013-05-01"
"Bristol Rovers","£3.02m",30,"2013-05-01"
"Plymouth Argyle","£3.38m",26,"2013-05-01"
"Burton Albion","£2.82m",26,"2013-05-01"
"Crewe Alexandra","£3.08m",28,"2013-05-01"
"Northampton Town","£3.62m",23,"2013-05-01"
"Peterborough United","£7.20m",30,"2013-05-01"
"Rochdale AFC","£2.52m",25,"2013-05-01"
"AFC Wimbledon","£3.06m",28,"2013-05-01"
"Accrington Stanley","£3.13m",27,"2013-05-01"
