"","Team","Value","Squad size","Date"
"1","Liverpool FC","€282.00m",22,"2014-05-15"
"2","Manchester City","€451.00m",24,"2014-05-15"
"3","Chelsea FC","€395.75m",24,"2014-05-15"
"4","Manchester United","€378.50m",26,"2014-05-15"
"5","Tottenham Hotspur","€271.50m",25,"2014-05-15"
"6","Arsenal FC","€370.50m",27,"2014-05-15"
"7","Everton FC","€171.75m",25,"2014-05-15"
"8","Leicester City","€29.20m",24,"2014-05-15"
"9","Wolverhampton Wanderers","€17.13m",27,"2014-05-15"
"10","Aston Villa","€101.00m",29,"2014-05-15"
"11","West Ham United","€96.70m",26,"2014-05-15"
"12","Newcastle United","€143.75m",25,"2014-05-15"
"13","Southampton FC","€111.75m",21,"2014-05-15"
"14","Brighton & Hove Albion","€22.10m",27,"2014-05-15"
"15","Fulham FC","€83.00m",28,"2014-05-15"
"16","Crystal Palace","€57.00m",26,"2014-05-15"
"17","Leeds United","€22.25m",28,"2014-05-15"
"18","Sheffield United","€9.40m",26,"2014-05-15"
"19","Burnley FC","€24.88m",22,"2014-05-15"
"20","West Bromwich Albion","€80.25m",24,"2014-05-15"
