"Team","Value","Squad size","Date"
"Liverpool FC","£495.90m",26,"2018-02-01"
"Manchester City","£726.75m",22,"2018-02-01"
"Chelsea FC","£626.18m",24,"2018-02-01"
"Manchester United","£667.35m",27,"2018-02-01"
"Tottenham Hotspur","£635.40m",24,"2018-02-01"
"Arsenal FC","£443.21m",24,"2018-02-01"
"Everton FC","£299.93m",29,"2018-02-01"
"Leicester City","£213.30m",25,"2018-02-01"
"Wolverhampton Wanderers","£65.34m",25,"2018-02-01"
"Aston Villa","£74.48m",29,"2018-02-01"
"West Ham United","£193.50m",24,"2018-02-01"
"Newcastle United","£132.44m",27,"2018-02-01"
"Southampton FC","£212.04m",26,"2018-02-01"
"Brighton & Hove Albion","£104.40m",27,"2018-02-01"
"Fulham FC","£62.78m",22,"2018-02-01"
"Crystal Palace","£170.51m",27,"2018-02-01"
"Leeds United","£40.50m",29,"2018-02-01"
"Sheffield United","£12.04m",27,"2018-02-01"
"Burnley FC","£114.39m",28,"2018-02-01"
"West Bromwich Albion","£154.62m",26,"2018-02-01"
