"","Team","Value","Squad size","Date"
"1","AFC Bournemouth","€121.75m",27,"2016-12-01"
"2","Norwich City","€78.10m",28,"2016-12-01"
"3","Watford FC","€129.50m",28,"2016-12-01"
"4","Brentford FC","€20.05m",24,"2016-12-01"
"5","Cardiff City","€40.80m",28,"2016-12-01"
"6","Bristol City","€20.00m",25,"2016-12-01"
"7","Swansea City","€111.75m",24,"2016-12-01"
"8","Reading FC","€22.75m",29,"2016-12-01"
"9","Stoke City","€171.25m",27,"2016-12-01"
"10","Blackburn Rovers","€21.95m",27,"2016-12-01"
"11","Nottingham Forest","€34.60m",26,"2016-12-01"
"12","Middlesbrough FC","€102.75m",27,"2016-12-01"
"13","Derby County","€62.80m",27,"2016-12-01"
"14","Huddersfield Town","€18.95m",24,"2016-12-01"
"15","Birmingham City","€16.20m",25,"2016-12-01"
"16","Millwall FC","€6.90m",24,"2016-12-01"
"17","Sheffield Wednesday","€53.20m",31,"2016-12-01"
"18","Preston North End","€17.68m",28,"2016-12-01"
"19","Queens Park Rangers","€47.70m",27,"2016-12-01"
"20","Barnsley FC","€7.83m",27,"2016-12-01"
"21","Luton Town","€3.75m",27,"2016-12-01"
"22","Coventry City","€5.65m",28,"2016-12-01"
"23","Rotherham United","€13.95m",27,"2016-12-01"
"24","Wycombe Wanderers","€3.25m",25,"2016-12-01"
