"Team","Value","Squad size","Date"
"Ipswich Town","£18.99m",28,"2017-11-01"
"Hull City","£63.18m",29,"2017-11-01"
"Sunderland AFC","£56.48m",27,"2017-11-01"
"Blackpool FC","£3.89m",27,"2017-11-01"
"Charlton Athletic","£7.38m",23,"2017-11-01"
"Milton Keynes Dons","£7.38m",28,"2017-11-01"
"Portsmouth FC","£4.68m",27,"2017-11-01"
"Fleetwood Town","£4.59m",26,"2017-11-01"
"Shrewsbury Town","£2.50m",23,"2017-11-01"
"Swindon Town","£2.81m",26,"2017-11-01"
"Oxford United","£6.37m",30,"2017-11-01"
"Wigan Athletic","£10.08m",28,"2017-11-01"
"Lincoln City","£1.60m",21,"2017-11-01"
"Doncaster Rovers","£3.26m",26,"2017-11-01"
"Gillingham FC","£3.17m",28,"2017-11-01"
"Bristol Rovers","£3.11m",24,"2017-11-01"
"Plymouth Argyle","£4.95m",27,"2017-11-01"
"Burton Albion","£10.85m",25,"2017-11-01"
"Crewe Alexandra","£2.09m",25,"2017-11-01"
"Northampton Town","£6.08m",28,"2017-11-01"
"Peterborough United","£4.10m",25,"2017-11-01"
"Rochdale AFC","£3.83m",27,"2017-11-01"
"AFC Wimbledon","£3.69m",28,"2017-11-01"
"Accrington Stanley","£1.78m",22,"2017-11-01"
