"","Team","Value","Squad size","Date"
"1","Hull City","€100.25m",29,"2015-01-15"
"2","Ipswich Town","€17.60m",24,"2015-01-15"
"3","Blackpool FC","€14.58m",31,"2015-01-15"
"4","Sunderland AFC","€88.80m",24,"2015-01-15"
"5","Shrewsbury Town","€3.88m",23,"2015-01-15"
"6","Charlton Athletic","€19.95m",29,"2015-01-15"
"7","Fleetwood Town","€3.50m",28,"2015-01-15"
"8","Milton Keynes Dons","€7.03m",22,"2015-01-15"
"9","Oxford United","€1.78m",26,"2015-01-15"
"10","Wigan Athletic","€45.65m",29,"2015-01-15"
"11","Swindon Town","€3.20m",26,"2015-01-15"
"12","Doncaster Rovers","€5.05m",23,"2015-01-15"
"13","Portsmouth FC","€5.28m",27,"2015-01-15"
"14","Burton Albion","€2.64m",25,"2015-01-15"
"15","Gillingham FC","€2.70m",26,"2015-01-15"
"16","Bristol Rovers","€1.63m",25,"2015-01-15"
"17","Plymouth Argyle","€2.10m",24,"2015-01-15"
"18","Northampton Town","€4.38m",24,"2015-01-15"
"19","Lincoln City","€450Th.",21,"2015-01-15"
"20","Peterborough United","€6.08m",22,"2015-01-15"
"21","Rochdale AFC","€3.68m",26,"2015-01-15"
"22","Crewe Alexandra","€3.10m",29,"2015-01-15"
"23","AFC Wimbledon","€2.30m",27,"2015-01-15"
"24","Accrington Stanley","€1.33m",24,"2015-01-15"
