"Team","Value","Squad size","Date"
"AFC Bournemouth","£3.42m",24,"2011-06-01"
"Norwich City","£16.65m",32,"2011-06-01"
"Watford FC","£9.50m",27,"2011-06-01"
"Brentford FC","£4.88m",24,"2011-06-01"
"Cardiff City","£24.08m",24,"2011-06-01"
"Bristol City","£18.00m",28,"2011-06-01"
"Swansea City","£19.01m",33,"2011-06-01"
"Stoke City","£74.21m",31,"2011-06-01"
"Reading FC","£18.43m",29,"2011-06-01"
"Blackburn Rovers","£70.52m",29,"2011-06-01"
"Nottingham Forest","£23.22m",25,"2011-06-01"
"Middlesbrough FC","£35.37m",29,"2011-06-01"
"Derby County","£15.26m",32,"2011-06-01"
"Huddersfield Town","£7.56m",24,"2011-06-01"
"Birmingham City","£69.98m",25,"2011-06-01"
"Millwall FC","£8.96m",26,"2011-06-01"
"Sheffield Wednesday","£15.39m",25,"2011-06-01"
"Preston North End","£15.98m",29,"2011-06-01"
"Queens Park Rangers","£34.81m",38,"2011-06-01"
"Barnsley FC","£10.80m",22,"2011-06-01"
"Luton Town","£1.24m",31,"2011-06-01"
"Coventry City","£14.24m",28,"2011-06-01"
"Rotherham United","£2.36m",24,"2011-06-01"
"Wycombe Wanderers","£3.42m",28,"2011-06-01"
