"","Team","Value","Squad size","Date"
"1","Hull City","€62.55m",31,"2018-03-01"
"2","Ipswich Town","€23.05m",29,"2018-03-01"
"3","Blackpool FC","€4.48m",28,"2018-03-01"
"4","Sunderland AFC","€51.75m",29,"2018-03-01"
"5","Shrewsbury Town","€3.43m",27,"2018-03-01"
"6","Charlton Athletic","€9.50m",25,"2018-03-01"
"7","Fleetwood Town","€4.98m",25,"2018-03-01"
"8","Milton Keynes Dons","€8.10m",27,"2018-03-01"
"9","Oxford United","€8.03m",28,"2018-03-01"
"10","Wigan Athletic","€12.55m",30,"2018-03-01"
"11","Swindon Town","€3.00m",26,"2018-03-01"
"12","Doncaster Rovers","€3.63m",26,"2018-03-01"
"13","Portsmouth FC","€5.88m",26,"2018-03-01"
"14","Burton Albion","€8.80m",24,"2018-03-01"
"15","Gillingham FC","€4.03m",30,"2018-03-01"
"16","Bristol Rovers","€3.63m",25,"2018-03-01"
"17","Plymouth Argyle","€4.38m",27,"2018-03-01"
"18","Northampton Town","€8.20m",31,"2018-03-01"
"19","Lincoln City","€3.28m",25,"2018-03-01"
"20","Peterborough United","€5.18m",26,"2018-03-01"
"21","Rochdale AFC","€4.40m",28,"2018-03-01"
"22","Crewe Alexandra","€2.45m",30,"2018-03-01"
"23","AFC Wimbledon","€4.20m",27,"2018-03-01"
"24","Accrington Stanley","€1.93m",24,"2018-03-01"
