"Team","Value","Squad size","Date"
"AFC Bournemouth","£5.83m",32,"2013-06-15"
"Norwich City","£62.78m",29,"2013-06-15"
"Watford FC","£23.04m",34,"2013-06-15"
"Brentford FC","£4.01m",22,"2013-06-15"
"Cardiff City","£29.66m",31,"2013-06-15"
"Bristol City","£15.21m",27,"2013-06-15"
"Swansea City","£80.55m",25,"2013-06-15"
"Reading FC","£41.40m",30,"2013-06-15"
"Stoke City","£91.58m",28,"2013-06-15"
"Blackburn Rovers","£42.80m",31,"2013-06-15"
"Nottingham Forest","£19.80m",26,"2013-06-15"
"Middlesbrough FC","£22.68m",30,"2013-06-15"
"Derby County","£14.40m",30,"2013-06-15"
"Huddersfield Town","£9.79m",26,"2013-06-15"
"Birmingham City","£17.51m",24,"2013-06-15"
"Millwall FC","£10.80m",27,"2013-06-15"
"Sheffield Wednesday","£11.16m",26,"2013-06-15"
"Preston North End","£4.91m",24,"2013-06-15"
"Queens Park Rangers","£92.93m",28,"2013-06-15"
"Barnsley FC","£7.70m",30,"2013-06-15"
"Luton Town","£2.12m",30,"2013-06-15"
"Coventry City","£7.79m",27,"2013-06-15"
"Rotherham United","£6.19m",22,"2013-06-15"
"Wycombe Wanderers","£3.20m",29,"2013-06-15"
