"Team","Value","Squad size","Date"
"AFC Bournemouth","£4.10m",27,"2011-01-15"
"Norwich City","£16.18m",29,"2011-01-15"
"Watford FC","£7.97m",24,"2011-01-15"
"Brentford FC","£5.76m",23,"2011-01-15"
"Cardiff City","£31.23m",27,"2011-01-15"
"Bristol City","£18.97m",32,"2011-01-15"
"Swansea City","£17.87m",30,"2011-01-15"
"Reading FC","£19.08m",30,"2011-01-15"
"Stoke City","£73.80m",25,"2011-01-15"
"Blackburn Rovers","£72.45m",24,"2011-01-15"
"Nottingham Forest","£25.47m",30,"2011-01-15"
"Middlesbrough FC","£38.52m",28,"2011-01-15"
"Derby County","£12.78m",33,"2011-01-15"
"Huddersfield Town","£9.47m",23,"2011-01-15"
"Birmingham City","£76.10m",27,"2011-01-15"
"Millwall FC","£8.66m",27,"2011-01-15"
"Sheffield Wednesday","£14.06m",25,"2011-01-15"
"Preston North End","£14.83m",30,"2011-01-15"
"Queens Park Rangers","£29.25m",31,"2011-01-15"
"Barnsley FC","£13.61m",26,"2011-01-15"
"Luton Town","£2.14m",31,"2011-01-15"
"Coventry City","£15.01m",28,"2011-01-15"
"Rotherham United","£2.54m",27,"2011-01-15"
"Wycombe Wanderers","£3.96m",27,"2011-01-15"
