"Team","Value","Squad size","Date"
"Liverpool FC","£215.82m",25,"2012-12-01"
"Manchester City","£448.43m",25,"2012-12-01"
"Chelsea FC","£348.30m",23,"2012-12-01"
"Manchester United","£396.90m",28,"2012-12-01"
"Tottenham Hotspur","£229.50m",24,"2012-12-01"
"Arsenal FC","£256.28m",27,"2012-12-01"
"Everton FC","£116.55m",23,"2012-12-01"
"Leicester City","£23.49m",24,"2012-12-01"
"Wolverhampton Wanderers","£62.15m",28,"2012-12-01"
"Aston Villa","£98.55m",25,"2012-12-01"
"West Ham United","£82.53m",23,"2012-12-01"
"Newcastle United","£142.20m",28,"2012-12-01"
"Southampton FC","£62.10m",26,"2012-12-01"
"Brighton & Hove Albion","£21.65m",28,"2012-12-01"
"Fulham FC","£73.85m",26,"2012-12-01"
"Crystal Palace","£16.79m",27,"2012-12-01"
"Leeds United","£17.35m",30,"2012-12-01"
"Sheffield United","£8.78m",26,"2012-12-01"
"Burnley FC","£17.84m",26,"2012-12-01"
"West Bromwich Albion","£74.25m",25,"2012-12-01"
