"Team","Value","Squad size","Date"
"Hull City","£11.54m",27,"2020-12-15"
"Ipswich Town","£11.25m",30,"2020-12-15"
"Blackpool FC","£10.53m",27,"2020-12-15"
"Sunderland AFC","£9.41m",26,"2020-12-15"
"Shrewsbury Town","£8.53m",30,"2020-12-15"
"Charlton Athletic","£8.26m",25,"2020-12-15"
"Fleetwood Town","£7.40m",27,"2020-12-15"
"Milton Keynes Dons","£6.03m",25,"2020-12-15"
"Oxford United","£5.74m",26,"2020-12-15"
"Wigan Athletic","£4.82m",31,"2020-12-15"
"Swindon Town","£4.16m",25,"2020-12-15"
"Doncaster Rovers","£4.10m",24,"2020-12-15"
"Portsmouth FC","£3.94m",26,"2020-12-15"
"Burton Albion","£3.65m",30,"2020-12-15"
"Gillingham FC","£3.42m",24,"2020-12-15"
"Bristol Rovers","£3.40m",31,"2020-12-15"
"Plymouth Argyle","£3.04m",28,"2020-12-15"
"Northampton Town","£2.93m",29,"2020-12-15"
"Lincoln City","£2.90m",23,"2020-12-15"
"Peterborough United","£2.34m",28,"2020-12-15"
"Rochdale AFC","£2.12m",28,"2020-12-15"
"Crewe Alexandra","£1.98m",29,"2020-12-15"
"AFC Wimbledon","£1.94m",29,"2020-12-15"
"Accrington Stanley","£1.22m",28,"2020-12-15"
