"Team","Value","Squad size","Date"
"Hull City","£15.75m",29,"2012-05-01"
"Ipswich Town","£15.84m",24,"2012-05-01"
"Blackpool FC","£21.15m",28,"2012-05-01"
"Sunderland AFC","£102.83m",26,"2012-05-01"
"Shrewsbury Town","£3.31m",22,"2012-05-01"
"Charlton Athletic","£9.47m",27,"2012-05-01"
"Fleetwood Town","£788Th.",32,"2012-05-01"
"Milton Keynes Dons","£5.13m",22,"2012-05-01"
"Oxford United","£4.91m",27,"2012-05-01"
"Wigan Athletic","£65.70m",26,"2012-05-01"
"Swindon Town","£4.79m",31,"2012-05-01"
"Doncaster Rovers","£12.13m",29,"2012-05-01"
"Portsmouth FC","£12.42m",24,"2012-05-01"
"Burton Albion","£3.22m",30,"2012-05-01"
"Gillingham FC","£4.01m",29,"2012-05-01"
"Bristol Rovers","£4.55m",26,"2012-05-01"
"Plymouth Argyle","£4.34m",29,"2012-05-01"
"Northampton Town","£4.01m",25,"2012-05-01"
"Lincoln City","£1.96m",33,"2012-05-01"
"Peterborough United","£7.45m",19,"2012-05-01"
"Rochdale AFC","£4.21m",29,"2012-05-01"
"Crewe Alexandra","£1.13m",28,"2012-05-01"
"AFC Wimbledon","£743Th.",25,"2012-05-01"
"Accrington Stanley","£1.80m",22,"2012-05-01"
