"","Team","Value","Squad size","Date"
"1","Hull City","€30.80m",28,"2012-12-15"
"2","Ipswich Town","€23.90m",31,"2012-12-15"
"3","Blackpool FC","€27.13m",34,"2012-12-15"
"4","Sunderland AFC","€116.00m",24,"2012-12-15"
"5","Shrewsbury Town","€3.53m",23,"2012-12-15"
"6","Charlton Athletic","€13.55m",28,"2012-12-15"
"7","Fleetwood Town","€3.23m",31,"2012-12-15"
"8","Milton Keynes Dons","€5.50m",21,"2012-12-15"
"9","Oxford United","€3.78m",26,"2012-12-15"
"10","Wigan Athletic","€71.00m",23,"2012-12-15"
"11","Swindon Town","€6.33m",27,"2012-12-15"
"12","Doncaster Rovers","€7.65m",23,"2012-12-15"
"13","Portsmouth FC","€6.70m",20,"2012-12-15"
"14","Burton Albion","€2.81m",25,"2012-12-15"
"15","Gillingham FC","€3.10m",28,"2012-12-15"
"16","Bristol Rovers","€4.75m",30,"2012-12-15"
"17","Plymouth Argyle","€3.58m",28,"2012-12-15"
"18","Northampton Town","€3.75m",23,"2012-12-15"
"19","Lincoln City","€1.13m",30,"2012-12-15"
"20","Peterborough United","€8.50m",27,"2012-12-15"
"21","Rochdale AFC","€2.03m",23,"2012-12-15"
"22","Crewe Alexandra","€2.20m",25,"2012-12-15"
"23","AFC Wimbledon","€2.25m",29,"2012-12-15"
"24","Accrington Stanley","€1.88m",27,"2012-12-15"
