"","Team","Value","Squad size","Date"
"1","Hull City","€22.58m",30,"2012-02-01"
"2","Ipswich Town","€24.73m",25,"2012-02-01"
"3","Blackpool FC","€28.20m",28,"2012-02-01"
"4","Sunderland AFC","€111.70m",26,"2012-02-01"
"5","Shrewsbury Town","€3.80m",23,"2012-02-01"
"6","Charlton Athletic","€12.13m",29,"2012-02-01"
"7","Fleetwood Town","€675Th.",30,"2012-02-01"
"8","Milton Keynes Dons","€8.43m",21,"2012-02-01"
"9","Oxford United","€5.25m",26,"2012-02-01"
"10","Wigan Athletic","€73.80m",26,"2012-02-01"
"11","Swindon Town","€5.93m",31,"2012-02-01"
"12","Doncaster Rovers","€16.43m",31,"2012-02-01"
"13","Portsmouth FC","€25.60m",20,"2012-02-01"
"14","Burton Albion","€2.98m",26,"2012-02-01"
"15","Gillingham FC","€3.70m",28,"2012-02-01"
"16","Bristol Rovers","€4.08m",28,"2012-02-01"
"17","Plymouth Argyle","€5.18m",29,"2012-02-01"
"18","Northampton Town","€5.50m",30,"2012-02-01"
"19","Lincoln City","€1.60m",29,"2012-02-01"
"20","Peterborough United","€6.25m",21,"2012-02-01"
"21","Rochdale AFC","€5.70m",29,"2012-02-01"
"22","Crewe Alexandra","€1.10m",27,"2012-02-01"
"23","AFC Wimbledon","€1.33m",29,"2012-02-01"
"24","Accrington Stanley","€1.95m",21,"2012-02-01"
