"","Team","Value","Squad size","Date"
"1","Hull City","€37.35m",29,"2011-01-01"
"2","Ipswich Town","€24.55m",28,"2011-01-01"
"3","Blackpool FC","€26.80m",30,"2011-01-01"
"4","Sunderland AFC","€104.30m",24,"2011-01-01"
"5","Shrewsbury Town","€5.85m",29,"2011-01-01"
"6","Charlton Athletic","€11.45m",29,"2011-01-01"
"7","Fleetwood Town","€1.78m",34,"2011-01-01"
"8","Milton Keynes Dons","€6.18m",25,"2011-01-01"
"9","Oxford United","€3.75m",26,"2011-01-01"
"10","Wigan Athletic","€67.00m",23,"2011-01-01"
"11","Swindon Town","€6.13m",27,"2011-01-01"
"12","Doncaster Rovers","€12.78m",26,"2011-01-01"
"13","Portsmouth FC","€26.55m",24,"2011-01-01"
"14","Burton Albion","€4.38m",26,"2011-01-01"
"15","Gillingham FC","€4.93m",32,"2011-01-01"
"16","Bristol Rovers","€6.18m",24,"2011-01-01"
"17","Plymouth Argyle","€11.10m",28,"2011-01-01"
"18","Northampton Town","€4.25m",25,"2011-01-01"
"19","Lincoln City","€3.03m",24,"2011-01-01"
"20","Peterborough United","€8.73m",26,"2011-01-01"
"21","Rochdale AFC","€4.18m",29,"2011-01-01"
"22","Crewe Alexandra","€2.18m",28,"2011-01-01"
"23","AFC Wimbledon","€325Th.",26,"2011-01-01"
"24","Accrington Stanley","€1.78m",26,"2011-01-01"
