"Team","Value","Squad size","Date"
"Liverpool FC","£221.40m",25,"2011-09-15"
"Manchester City","£390.15m",25,"2011-09-15"
"Chelsea FC","£378.90m",26,"2011-09-15"
"Manchester United","£364.77m",28,"2011-09-15"
"Tottenham Hotspur","£247.10m",26,"2011-09-15"
"Arsenal FC","£262.17m",30,"2011-09-15"
"Everton FC","£124.88m",21,"2011-09-15"
"Leicester City","£35.39m",28,"2011-09-15"
"Wolverhampton Wanderers","£67.50m",24,"2011-09-15"
"Aston Villa","£118.13m",23,"2011-09-15"
"West Ham United","£68.76m",28,"2011-09-15"
"Newcastle United","£94.28m",28,"2011-09-15"
"Southampton FC","£16.90m",29,"2011-09-15"
"Brighton & Hove Albion","£9.29m",29,"2011-09-15"
"Fulham FC","£97.88m",27,"2011-09-15"
"Crystal Palace","£19.28m",34,"2011-09-15"
"Leeds United","£19.51m",26,"2011-09-15"
"Sheffield United","£14.31m",28,"2011-09-15"
"Burnley FC","£20.59m",22,"2011-09-15"
"West Bromwich Albion","£69.08m",24,"2011-09-15"
