"Team","Value","Squad size","Date"
"Salford City","£3.98m",24,"2020-05-15"
"Bolton Wanderers","£5.90m",28,"2020-05-15"
"Oldham Athletic","£3.44m",26,"2020-05-15"
"Barrow AFC","£990Th.",23,"2020-05-15"
"Morecambe FC","£2.61m",29,"2020-05-15"
"Mansfield Town","£2.21m",25,"2020-05-15"
"Tranmere Rovers","£2.88m",30,"2020-05-15"
"Grimsby Town","£2.27m",27,"2020-05-15"
"Leyton Orient","£4.28m",28,"2020-05-15"
"Colchester United","£2.75m",28,"2020-05-15"
"Scunthorpe United","£3.24m",26,"2020-05-15"
"Bradford City","£3.87m",29,"2020-05-15"
"Port Vale FC","£2.07m",26,"2020-05-15"
"Crawley Town","£1.53m",27,"2020-05-15"
"Exeter City","£3.08m",30,"2020-05-15"
"Newport County","£1.91m",24,"2020-05-15"
"Southend United","£3.06m",22,"2020-05-15"
"Cheltenham Town","£2.30m",25,"2020-05-15"
"Cambridge United","£1.58m",25,"2020-05-15"
"Carlisle United","£2.39m",26,"2020-05-15"
"Stevenage FC","£2.86m",35,"2020-05-15"
"Forest Green Rovers","£3.02m",29,"2020-05-15"
"Walsall FC","£1.67m",25,"2020-05-15"
"Harrogate Town","£473Th.",22,"2020-05-15"
