"","Team","Value","Squad size","Date"
"1","Liverpool FC","€355.25m",30,"2015-07-15"
"2","Manchester City","€443.95m",25,"2015-07-15"
"3","Chelsea FC","€586.75m",35,"2015-07-15"
"4","Manchester United","€452.25m",30,"2015-07-15"
"5","Tottenham Hotspur","€302.60m",30,"2015-07-15"
"6","Arsenal FC","€421.00m",29,"2015-07-15"
"7","Everton FC","€181.00m",25,"2015-07-15"
"8","Leicester City","€78.50m",24,"2015-07-15"
"9","Wolverhampton Wanderers","€19.10m",31,"2015-07-15"
"10","Aston Villa","€109.25m",28,"2015-07-15"
"11","West Ham United","€144.50m",26,"2015-07-15"
"12","Newcastle United","€140.50m",31,"2015-07-15"
"13","Southampton FC","€162.25m",24,"2015-07-15"
"14","Brighton & Hove Albion","€21.70m",27,"2015-07-15"
"15","Fulham FC","€39.15m",32,"2015-07-15"
"16","Crystal Palace","€106.50m",29,"2015-07-15"
"17","Leeds United","€21.58m",25,"2015-07-15"
"18","Sheffield United","€9.55m",28,"2015-07-15"
"19","Burnley FC","€40.05m",25,"2015-07-15"
"20","West Bromwich Albion","€74.50m",20,"2015-07-15"
