"Team","Value","Squad size","Date"
"Ipswich Town","£15.84m",24,"2012-04-15"
"Hull City","£15.75m",29,"2012-04-15"
"Sunderland AFC","£102.83m",26,"2012-04-15"
"Blackpool FC","£21.15m",28,"2012-04-15"
"Charlton Athletic","£9.47m",27,"2012-04-15"
"Milton Keynes Dons","£5.13m",22,"2012-04-15"
"Portsmouth FC","£12.38m",23,"2012-04-15"
"Fleetwood Town","£788Th.",30,"2012-04-15"
"Shrewsbury Town","£3.31m",22,"2012-04-15"
"Swindon Town","£4.79m",31,"2012-04-15"
"Oxford United","£4.91m",27,"2012-04-15"
"Wigan Athletic","£65.70m",26,"2012-04-15"
"Lincoln City","£1.96m",33,"2012-04-15"
"Doncaster Rovers","£12.58m",30,"2012-04-15"
"Gillingham FC","£4.01m",29,"2012-04-15"
"Bristol Rovers","£4.55m",26,"2012-04-15"
"Plymouth Argyle","£4.43m",30,"2012-04-15"
"Burton Albion","£3.22m",30,"2012-04-15"
"Crewe Alexandra","£1.13m",28,"2012-04-15"
"Northampton Town","£4.01m",25,"2012-04-15"
"Peterborough United","£7.45m",19,"2012-04-15"
"Rochdale AFC","£4.21m",28,"2012-04-15"
"AFC Wimbledon","£743Th.",25,"2012-04-15"
"Accrington Stanley","£1.80m",22,"2012-04-15"
