"Team","Value","Squad size","Date"
"Liverpool FC","£279.45m",25,"2015-05-15"
"Manchester City","£376.43m",23,"2015-05-15"
"Chelsea FC","£438.30m",25,"2015-05-15"
"Manchester United","£382.50m",25,"2015-05-15"
"Tottenham Hotspur","£236.48m",25,"2015-05-15"
"Arsenal FC","£349.88m",26,"2015-05-15"
"Everton FC","£161.55m",25,"2015-05-15"
"Leicester City","£56.48m",28,"2015-05-15"
"Wolverhampton Wanderers","£18.72m",25,"2015-05-15"
"Aston Villa","£100.13m",32,"2015-05-15"
"West Ham United","£107.78m",23,"2015-05-15"
"Newcastle United","£110.25m",28,"2015-05-15"
"Brighton & Hove Albion","£17.01m",26,"2015-05-15"
"Southampton FC","£170.33m",24,"2015-05-15"
"Crystal Palace","£77.18m",28,"2015-05-15"
"Fulham FC","£33.03m",33,"2015-05-15"
"Leeds United","£23.90m",30,"2015-05-15"
"Sheffield United","£8.51m",26,"2015-05-15"
"Burnley FC","£42.57m",23,"2015-05-15"
"West Bromwich Albion","£72.45m",22,"2015-05-15"
