"","Team","Value","Squad size","Date"
"1","Liverpool FC","€514.50m",29,"2018-01-01"
"2","Manchester City","€629.50m",21,"2018-01-01"
"3","Chelsea FC","€631.90m",26,"2018-01-01"
"4","Manchester United","€592.75m",26,"2018-01-01"
"5","Tottenham Hotspur","€551.00m",24,"2018-01-01"
"6","Arsenal FC","€509.50m",27,"2018-01-01"
"7","Everton FC","€335.25m",31,"2018-01-01"
"8","Leicester City","€243.50m",26,"2018-01-01"
"9","Wolverhampton Wanderers","€73.63m",29,"2018-01-01"
"10","Aston Villa","€84.25m",30,"2018-01-01"
"11","West Ham United","€220.50m",24,"2018-01-01"
"12","Newcastle United","€137.00m",27,"2018-01-01"
"13","Southampton FC","€255.60m",27,"2018-01-01"
"14","Brighton & Hove Albion","€99.40m",29,"2018-01-01"
"15","Fulham FC","€73.25m",25,"2018-01-01"
"16","Crystal Palace","€190.60m",27,"2018-01-01"
"17","Leeds United","€43.90m",26,"2018-01-01"
"18","Sheffield United","€11.03m",27,"2018-01-01"
"19","Burnley FC","€91.50m",25,"2018-01-01"
"20","West Bromwich Albion","€153.25m",21,"2018-01-01"
