"Team","Value","Squad size","Date"
"Liverpool FC","£259.20m",24,"2013-10-15"
"Manchester City","£425.48m",24,"2013-10-15"
"Chelsea FC","£412.88m",25,"2013-10-15"
"Manchester United","£362.70m",28,"2013-10-15"
"Tottenham Hotspur","£281.70m",24,"2013-10-15"
"Arsenal FC","£319.95m",28,"2013-10-15"
"Everton FC","£151.43m",26,"2013-10-15"
"Leicester City","£24.62m",27,"2013-10-15"
"Wolverhampton Wanderers","£19.31m",25,"2013-10-15"
"Aston Villa","£96.53m",28,"2013-10-15"
"West Ham United","£81.45m",24,"2013-10-15"
"Newcastle United","£149.85m",25,"2013-10-15"
"Brighton & Hove Albion","£24.19m",28,"2013-10-15"
"Southampton FC","£100.80m",23,"2013-10-15"
"Fulham FC","£79.65m",25,"2013-10-15"
"Crystal Palace","£53.33m",34,"2013-10-15"
"Leeds United","£18.68m",25,"2013-10-15"
"Sheffield United","£9.29m",30,"2013-10-15"
"Burnley FC","£16.63m",21,"2013-10-15"
"West Bromwich Albion","£87.53m",27,"2013-10-15"
