"Team","Value","Squad size","Date"
"Salford City","£585Th.",25,"2017-11-01"
"Bolton Wanderers","£14.63m",26,"2017-11-01"
"Oldham Athletic","£6.80m",29,"2017-11-01"
"Barrow AFC","£855Th.",24,"2017-11-01"
"Morecambe FC","£2.25m",29,"2017-11-01"
"Mansfield Town","£3.69m",25,"2017-11-01"
"Tranmere Rovers","£1.49m",28,"2017-11-01"
"Grimsby Town","£2.50m",28,"2017-11-01"
"Leyton Orient","£2.36m",31,"2017-11-01"
"Colchester United","£3.20m",26,"2017-11-01"
"Scunthorpe United","£5.96m",27,"2017-11-01"
"Bradford City","£4.46m",34,"2017-11-01"
"Port Vale FC","£3.02m",33,"2017-11-01"
"Crawley Town","£2.59m",26,"2017-11-01"
"Exeter City","£3.87m",30,"2017-11-01"
"Newport County","£2.18m",26,"2017-11-01"
"Southend United","£5.54m",26,"2017-11-01"
"Cheltenham Town","£2.48m",25,"2017-11-01"
"Cambridge United","£2.09m",24,"2017-11-01"
"Carlisle United","£2.34m",26,"2017-11-01"
"Stevenage FC","£1.73m",27,"2017-11-01"
"Forest Green Rovers","£1.26m",26,"2017-11-01"
"Walsall FC","£2.77m",27,"2017-11-01"
"Harrogate Town","£698Th.",23,"2017-11-01"
