"Team","Value","Squad size","Date"
"AFC Bournemouth","£121.05m",29,"2018-06-15"
"Norwich City","£46.44m",30,"2018-06-15"
"Watford FC","£163.80m",30,"2018-06-15"
"Brentford FC","£33.21m",26,"2018-06-15"
"Cardiff City","£44.15m",31,"2018-06-15"
"Bristol City","£39.74m",26,"2018-06-15"
"Swansea City","£130.73m",27,"2018-06-15"
"Stoke City","£155.48m",27,"2018-06-15"
"Reading FC","£35.33m",27,"2018-06-15"
"Blackburn Rovers","£10.31m",25,"2018-06-15"
"Nottingham Forest","£40.28m",33,"2018-06-15"
"Middlesbrough FC","£65.34m",21,"2018-06-15"
"Derby County","£55.04m",29,"2018-06-15"
"Huddersfield Town","£93.11m",30,"2018-06-15"
"Birmingham City","£26.82m",25,"2018-06-15"
"Millwall FC","£10.64m",32,"2018-06-15"
"Sheffield Wednesday","£53.26m",30,"2018-06-15"
"Preston North End","£14.13m",30,"2018-06-15"
"Queens Park Rangers","£30.74m",31,"2018-06-15"
"Barnsley FC","£15.44m",28,"2018-06-15"
"Luton Town","£3.15m",29,"2018-06-15"
"Coventry City","£3.35m",32,"2018-06-15"
"Rotherham United","£5.18m",24,"2018-06-15"
"Wycombe Wanderers","£2.72m",21,"2018-06-15"
