"Team","Value","Squad size","Date"
"Liverpool FC","£212.49m",26,"2012-07-15"
"Manchester City","£448.65m",27,"2012-07-15"
"Chelsea FC","£372.83m",29,"2012-07-15"
"Manchester United","£359.33m",27,"2012-07-15"
"Tottenham Hotspur","£263.70m",28,"2012-07-15"
"Arsenal FC","£329.18m",35,"2012-07-15"
"Everton FC","£124.20m",21,"2012-07-15"
"Leicester City","£25.92m",23,"2012-07-15"
"Wolverhampton Wanderers","£63.27m",28,"2012-07-15"
"Aston Villa","£101.93m",24,"2012-07-15"
"West Ham United","£49.95m",20,"2012-07-15"
"Newcastle United","£133.88m",27,"2012-07-15"
"Southampton FC","£37.67m",26,"2012-07-15"
"Brighton & Hove Albion","£19.08m",27,"2012-07-15"
"Fulham FC","£87.75m",30,"2012-07-15"
"Crystal Palace","£15.46m",27,"2012-07-15"
"Leeds United","£16.43m",25,"2012-07-15"
"Sheffield United","£9.41m",22,"2012-07-15"
"Burnley FC","£15.80m",25,"2012-07-15"
"West Bromwich Albion","£52.43m",22,"2012-07-15"
