"Team","Value","Squad size","Date"
"Salford City","£3.51m",28,"2020-06-15"
"Bolton Wanderers","£4.95m",26,"2020-06-15"
"Oldham Athletic","£2.36m",22,"2020-06-15"
"Barrow AFC","£833Th.",19,"2020-06-15"
"Morecambe FC","£2.39m",24,"2020-06-15"
"Mansfield Town","£2.50m",27,"2020-06-15"
"Tranmere Rovers","£2.45m",27,"2020-06-15"
"Grimsby Town","£2.27m",25,"2020-06-15"
"Leyton Orient","£2.23m",28,"2020-06-15"
"Colchester United","£2.57m",28,"2020-06-15"
"Scunthorpe United","£3.65m",25,"2020-06-15"
"Bradford City","£3.40m",26,"2020-06-15"
"Port Vale FC","£2.25m",26,"2020-06-15"
"Crawley Town","£1.96m",28,"2020-06-15"
"Exeter City","£3.08m",31,"2020-06-15"
"Newport County","£1.85m",24,"2020-06-15"
"Southend United","£3.06m",25,"2020-06-15"
"Cheltenham Town","£1.98m",22,"2020-06-15"
"Cambridge United","£1.44m",25,"2020-06-15"
"Carlisle United","£2.12m",21,"2020-06-15"
"Stevenage FC","£2.59m",33,"2020-06-15"
"Forest Green Rovers","£2.41m",24,"2020-06-15"
"Walsall FC","£1.67m",23,"2020-06-15"
"Harrogate Town","£473Th.",22,"2020-06-15"
