"Team","Value","Squad size","Date"
"Hull City","£41.76m",29,"2020-01-15"
"Ipswich Town","£12.40m",29,"2020-01-15"
"Blackpool FC","£6.21m",28,"2020-01-15"
"Sunderland AFC","£14.81m",24,"2020-01-15"
"Shrewsbury Town","£5.49m",24,"2020-01-15"
"Charlton Athletic","£20.21m",28,"2020-01-15"
"Fleetwood Town","£6.55m",26,"2020-01-15"
"Milton Keynes Dons","£5.58m",28,"2020-01-15"
"Oxford United","£11.57m",30,"2020-01-15"
"Wigan Athletic","£26.46m",31,"2020-01-15"
"Swindon Town","£4.95m",36,"2020-01-15"
"Doncaster Rovers","£2.88m",30,"2020-01-15"
"Portsmouth FC","£5.58m",27,"2020-01-15"
"Burton Albion","£4.68m",28,"2020-01-15"
"Gillingham FC","£3.71m",23,"2020-01-15"
"Bristol Rovers","£3.96m",31,"2020-01-15"
"Plymouth Argyle","£3.11m",28,"2020-01-15"
"Northampton Town","£2.72m",28,"2020-01-15"
"Lincoln City","£4.75m",26,"2020-01-15"
"Peterborough United","£4.75m",25,"2020-01-15"
"Rochdale AFC","£2.77m",28,"2020-01-15"
"Crewe Alexandra","£1.76m",25,"2020-01-15"
"AFC Wimbledon","£1.80m",29,"2020-01-15"
"Accrington Stanley","£2.09m",37,"2020-01-15"
