"","Team","Value","Squad size","Date"
"1","Hull City","€22.30m",24,"2012-08-15"
"2","Ipswich Town","€12.20m",23,"2012-08-15"
"3","Blackpool FC","€22.28m",32,"2012-08-15"
"4","Sunderland AFC","€94.25m",21,"2012-08-15"
"5","Shrewsbury Town","€4.50m",22,"2012-08-15"
"6","Charlton Athletic","€8.48m",27,"2012-08-15"
"7","Fleetwood Town","€2.88m",28,"2012-08-15"
"8","Milton Keynes Dons","€6.10m",19,"2012-08-15"
"9","Oxford United","€4.45m",24,"2012-08-15"
"10","Wigan Athletic","€77.50m",27,"2012-08-15"
"11","Swindon Town","€4.60m",24,"2012-08-15"
"12","Doncaster Rovers","€4.90m",17,"2012-08-15"
"13","Portsmouth FC","€450Th.",14,"2012-08-15"
"14","Burton Albion","€2.56m",21,"2012-08-15"
"15","Gillingham FC","€2.70m",27,"2012-08-15"
"16","Bristol Rovers","€4.50m",27,"2012-08-15"
"17","Plymouth Argyle","€3.00m",25,"2012-08-15"
"18","Northampton Town","€3.33m",20,"2012-08-15"
"19","Lincoln City","€600Th.",22,"2012-08-15"
"20","Peterborough United","€10.00m",28,"2012-08-15"
"21","Rochdale AFC","€1.95m",24,"2012-08-15"
"22","Crewe Alexandra","€1.18m",21,"2012-08-15"
"23","AFC Wimbledon","€1.23m",22,"2012-08-15"
"24","Accrington Stanley","€925Th.",26,"2012-08-15"
