"","Team","Value","Squad size","Date"
"1","Salford City","€800Th.",20,"2017-02-15"
"2","Southend United","€5.68m",27,"2017-02-15"
"3","Bolton Wanderers","€14.05m",24,"2017-02-15"
"4","Oldham Athletic","€4.48m",26,"2017-02-15"
"5","Tranmere Rovers","€1.68m",29,"2017-02-15"
"6","Morecambe FC","€2.05m",19,"2017-02-15"
"7","Grimsby Town","€2.88m",30,"2017-02-15"
"8","Colchester United","€4.45m",30,"2017-02-15"
"9","Leyton Orient","€4.58m",26,"2017-02-15"
"10","Mansfield Town","€3.60m",27,"2017-02-15"
"11","Bradford City","€4.80m",26,"2017-02-15"
"12","Scunthorpe United","€5.68m",26,"2017-02-15"
"13","Barrow AFC","€775Th.",27,"2017-02-15"
"14","Port Vale FC","€5.20m",33,"2017-02-15"
"15","Cheltenham Town","€1.73m",24,"2017-02-15"
"16","Exeter City","€4.13m",32,"2017-02-15"
"17","Carlisle United","€3.15m",22,"2017-02-15"
"18","Crawley Town","€3.13m",23,"2017-02-15"
"19","Newport County","€2.73m",34,"2017-02-15"
"20","Cambridge United","€3.10m",26,"2017-02-15"
"21","Walsall FC","€3.48m",25,"2017-02-15"
"22","Forest Green Rovers","€2.10m",25,"2017-02-15"
"23","Stevenage FC","€2.65m",28,"2017-02-15"
"24","Harrogate Town","€2.90m",46,"2017-02-15"
