"Team","Value","Squad size","Date"
"Hull City","£23.54m",28,"2011-09-01"
"Ipswich Town","£26.60m",29,"2011-09-01"
"Blackpool FC","£25.38m",30,"2011-09-01"
"Sunderland AFC","£107.28m",30,"2011-09-01"
"Charlton Athletic","£9.43m",30,"2011-09-01"
"Shrewsbury Town","£3.24m",20,"2011-09-01"
"Fleetwood Town","£810Th.",33,"2011-09-01"
"Milton Keynes Dons","£5.20m",23,"2011-09-01"
"Oxford United","£4.73m",23,"2011-09-01"
"Wigan Athletic","£63.72m",26,"2011-09-01"
"Swindon Town","£5.58m",30,"2011-09-01"
"Doncaster Rovers","£11.30m",29,"2011-09-01"
"Portsmouth FC","£23.87m",23,"2011-09-01"
"Burton Albion","£3.02m",25,"2011-09-01"
"Gillingham FC","£3.02m",26,"2011-09-01"
"Bristol Rovers","£4.10m",27,"2011-09-01"
"Northampton Town","£3.26m",27,"2011-09-01"
"Plymouth Argyle","£3.31m",24,"2011-09-01"
"Lincoln City","£1.37m",21,"2011-09-01"
"Peterborough United","£6.23m",27,"2011-09-01"
"Rochdale AFC","£3.53m",23,"2011-09-01"
"Crewe Alexandra","£878Th.",24,"2011-09-01"
"AFC Wimbledon","£698Th.",23,"2011-09-01"
"Accrington Stanley","£1.69m",22,"2011-09-01"
