"","Team","Value","Squad size","Date"
"1","AFC Bournemouth","€22.03m",36,"2015-06-15"
"2","Norwich City","€60.45m",33,"2015-06-15"
"3","Watford FC","€37.88m",34,"2015-06-15"
"4","Brentford FC","€16.35m",32,"2015-06-15"
"5","Cardiff City","€48.08m",37,"2015-06-15"
"6","Bristol City","€7.45m",20,"2015-06-15"
"7","Swansea City","€102.00m",27,"2015-06-15"
"8","Reading FC","€27.35m",30,"2015-06-15"
"9","Stoke City","€99.50m",27,"2015-06-15"
"10","Blackburn Rovers","€37.25m",29,"2015-06-15"
"11","Nottingham Forest","€35.05m",28,"2015-06-15"
"12","Middlesbrough FC","€31.18m",29,"2015-06-15"
"13","Derby County","€30.55m",28,"2015-06-15"
"14","Huddersfield Town","€13.25m",28,"2015-06-15"
"15","Birmingham City","€15.85m",32,"2015-06-15"
"16","Millwall FC","€11.50m",31,"2015-06-15"
"17","Sheffield Wednesday","€15.85m",29,"2015-06-15"
"18","Preston North End","€5.85m",27,"2015-06-15"
"19","Queens Park Rangers","€88.70m",29,"2015-06-15"
"20","Barnsley FC","€4.33m",27,"2015-06-15"
"21","Luton Town","€2.00m",30,"2015-06-15"
"22","Coventry City","€5.03m",24,"2015-06-15"
"23","Rotherham United","€10.45m",23,"2015-06-15"
"24","Wycombe Wanderers","€2.08m",19,"2015-06-15"
